No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5149, 0.0616, 0.4584, 0.1108, 0.959, 0.308, 0.144, X--++, 0.971, -0.78, -4.719
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.471, 0.0632, 0.3974, 0.0898, 1.1, 0.457, 0.09, X--+-, 0.379, -3.398, -52.618
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4949, 0.0393, 0.4371, 0.0884, 0.967, 0.291, 0.134, X---+, 0.73, -1.74, -23.763
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4711, 0.0661, 0.3985, 0.0939, 1.108, 0.437, 0.09, X--+-, 0.191, -3.867, -62.938
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, delay_time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0469, 0.4392, 0.0915, 0.952, 0.292, 0.113, X--++, 0.713, -1.666, -22.263
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, delay_time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.474, 0.048, 0.4054, 0.081, 1.147, 0.417, 0.084, X--+-, 0.312, -2.767, -46.844
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, pip, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4848, 0.0258, 0.429, 0.0476, 0.86, 0.351, 0.111, +----, 0.59, -3.302, -55.422
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, pip, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4798, 0.0441, 0.4067, 0.0837, 1.057, 0.505, 0.101, ---+-, 0.642, -3.31, -50.935
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, padding, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0298, 0.4341, 0.0739, 1.012, 0.353, 0.116, X---+, 0.436, -2.274, -31.777
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, padding, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4652, 0.0395, 0.3961, 0.0758, 1.221, 0.472, 0.069, X-X-+, 0.476, -3.263, -48.53
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.495, 0.0336, 0.4321, 0.0744, 1.01, 0.365, 0.121, X--++, 0.504, -2.192, -30.936
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4652, 0.0379, 0.3936, 0.0729, 1.235, 0.46, 0.064, X-X-+, 0.431, -3.252, -48.86
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, delay_time_join, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0281, 0.4331, 0.0763, 1.005, 0.367, 0.121, X---+, 0.836, -1.488, -20.0
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, delay_time_join, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4623, 0.0502, 0.3881, 0.0784, 1.213, 0.474, 0.066, X-X-+, 0.186, -3.767, -55.815
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, pip, 25, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4925, 0.0234, 0.4462, 0.0617, 0.919, 0.348, 0.119, -----, 0.883, -2.187, -37.11
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, pip, 25, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4768, 0.0291, 0.4202, 0.0619, 1.088, 0.384, 0.098, X---+, 0.617, -2.258, -34.067
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5305, 0.0553, 0.5168, 0.0634, 0.008, 0.003, 0.26, +--+-, 0.383, 1.334, 18.579
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, padding, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5027, 0.0512, 0.4793, 0.0418, 0.008, 0.003, 0.251, ++--+, 0.846, -0.915, -10.07
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5405, 0.0476, 0.5256, 0.0582, 0.008, 0.003, 0.255, +--++, 0.307, 2.621, 43.363
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, time_join, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4943, 0.0463, 0.457, 0.0362, 0.008, 0.003, 0.217, ++-++, 0.421, -0.381, -3.861
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.558, 0.0271, 0.5481, 0.0279, 0.009, 0.002, 0.28, +-+++, -0.126, 2.347, 43.593
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, delay_time_join, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5116, 0.0323, 0.4685, 0.0539, 0.008, 0.003, 0.217, ++--+, 0.727, -3.347, -50.218
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5355, 0.0281, 0.5089, 0.0342, 0.008, 0.003, 0.23, +--+-, -0.307, 0.343, 7.93
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, euclidean, pip, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5375, 0.0172, 0.505, 0.0227, 0.008, 0.003, 0.234, ++-++, 1.361, 3.095, 58.793
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5354, 0.0524, 0.5153, 0.0635, 0.008, 0.003, 0.255, +--+-, 0.202, 0.736, 8.89
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, padding, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5114, 0.0397, 0.4571, 0.0643, 0.008, 0.003, 0.205, ++--+, 0.683, -0.843, -5.176
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5454, 0.0497, 0.5264, 0.0622, 0.008, 0.003, 0.265, +--++, 0.607, 0.774, 14.126
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.4942, 0.0338, 0.4454, 0.0615, 0.008, 0.003, 0.199, ++--+, 0.123, -2.17, -31.995
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5329, 0.05, 0.5125, 0.0627, 0.009, 0.003, 0.275, +--+-, -0.194, -1.188, -21.736
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 25, 15, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5, 0.0205, 0.4387, 0.0594, 0.008, 0.003, 0.214, X---+, 0.249, -2.622, -36.708
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 25, 5, 1, RandomForestRegressor, Close_proc, Close_norm, 0.5405, 0.0239, 0.5236, 0.0339, 0.008, 0.003, 0.265, ++++-, 0.544, 1.786, 27.669
