No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 1, ['Close_norm'], None, pearson, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4893, 0.0252, 0.477, 0.0172, NaN, NaN, 0.234, ++---, -0.168, -3.239, -55.704
 1, ['Close_norm'], None, pearson, pip, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4872, 0.0308, 0.4627, 0.0469, NaN, NaN, 0.202, +----, -0.015, -3.555, -58.568
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5337, 0.0314, 0.5246, 0.0334, NaN, NaN, 0.348, +++++, 1.181, 5.036, 79.579
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4798, 0.0527, 0.4549, 0.0467, NaN, NaN, 0.226, +-+-+, -0.326, 1.406, 23.492
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5406, 0.0223, 0.5164, 0.0542, NaN, NaN, 0.307, +-+++, 0.644, 4.006, 66.832
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5118, 0.0396, 0.4962, 0.0397, NaN, NaN, 0.234, +--++, 0.123, -1.132, -14.505
 1, ['Close_norm'], None, co-integration, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5081, 0.039, 0.4984, 0.0512, NaN, NaN, 0.258, -++-+, 0.408, 1.872, 30.358
 1, ['Close_norm'], None, co-integration, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4844, 0.0491, 0.4691, 0.0592, NaN, NaN, 0.234, --++-, 0.369, -1.049, -18.849
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5335, 0.0716, 0.522, 0.0678, NaN, NaN, 0.297, -++++, 1.064, 4.995, 87.598
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.469, 0.0157, 0.4553, 0.0103, NaN, NaN, 0.213, --+--, 0.3, 0.238, 3.221
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5173, 0.0354, 0.4969, 0.0449, NaN, NaN, 0.275, +---+, 0.315, -1.177, -18.332
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4974, 0.0735, 0.4555, 0.0784, NaN, NaN, 0.208, ++-+-, 0.495, 0.247, 2.459
 1, ['Close_norm'], None, co-integration, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5239, 0.0236, 0.52, 0.0263, NaN, NaN, 0.258, -++-+, 0.389, -0.303, -3.923
 1, ['Close_norm'], None, co-integration, time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5014, 0.0516, 0.4852, 0.0617, NaN, NaN, 0.222, --++-, 1.181, -0.374, -4.946
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5285, 0.057, 0.5166, 0.056, NaN, NaN, 0.275, +++++, 0.794, 7.118, 115.848
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4879, 0.032, 0.4658, 0.033, NaN, NaN, 0.202, +-+-+, 0.686, 2.357, 43.524
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5173, 0.0354, 0.4884, 0.0525, NaN, NaN, 0.234, +--++, 0.612, -0.307, -3.199
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4857, 0.0365, 0.4519, 0.0292, NaN, NaN, 0.237, -+---, 0.172, -1.942, -32.772
 1, ['Close_norm'], None, co-integration, delay_time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5107, 0.013, 0.494, 0.0216, NaN, NaN, 0.279, ++---, 0.592, -1.465, -25.245
 1, ['Close_norm'], None, co-integration, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4787, 0.0511, 0.4507, 0.0565, NaN, NaN, 0.202, +-+--, 0.261, -1.342, -25.291
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, delay_time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5418, 0.0298, 0.5245, 0.0424, NaN, NaN, 0.305, +++++, 1.429, 9.69, 154.623
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4934, 0.0481, 0.4701, 0.0403, NaN, NaN, 0.172, ++---, 1.123, -0.724, -17.123
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5116, 0.0462, 0.4861, 0.0529, NaN, NaN, 0.298, +-+--, -0.172, -2.765, -49.582
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, delay_time_join, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4655, 0.0533, 0.4112, 0.0781, NaN, NaN, 0.165, ---+-, -0.356, -4.134, -63.735
 1, ['Close_norm'], None, co-integration, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4629, 0.0485, 0.4353, 0.0497, NaN, NaN, 0.242, +++--, -0.305, -0.398, -15.143
 1, ['Close_norm'], None, co-integration, pip, 50, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4786, 0.0428, 0.4422, 0.0452, NaN, NaN, 0.191, +----, 0.089, -4.422, -73.925
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5203, 0.0391, 0.4977, 0.048, NaN, NaN, 0.305, +++-+, 1.009, 4.467, 70.178
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, pip, 50, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.477, 0.0169, 0.4564, 0.0429, NaN, NaN, 0.197, +--+-, -0.105, -2.271, -38.829
