No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, sax, pip, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5214, 0.0459, 0.5189, 0.0443, NaN, NaN, 0.25, +++-+, 1.119, 3.972, 61.352
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, dtw, padding, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5111, 0.0521, 0.4965, 0.0601, NaN, NaN, 0.254, +-+++, 1.737, 3.367, 55.937
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, dtw, padding, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4946, 0.0489, 0.4711, 0.0357, NaN, NaN, 0.226, ++---, -0.025, -1.326, -31.103
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, dtw, time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5235, 0.064, 0.5087, 0.0723, NaN, NaN, 0.237, +-+++, 1.524, 4.123, 71.705
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, dtw, time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4999, 0.0519, 0.4742, 0.0426, NaN, NaN, 0.21, ++---, 0.415, -0.995, -23.889
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, dtw, delay_time_join, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5236, 0.055, 0.507, 0.056, NaN, NaN, 0.222, +-+++, 1.531, 4.692, 77.218
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, dtw, delay_time_join, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.5079, 0.0584, 0.4918, 0.0492, NaN, NaN, 0.221, ++--+, 0.01, -1.678, -33.272
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, dtw, pip, 25, 5, 1, XGBClassifier, Close_norm, Close_norm, 0.5113, 0.0317, 0.5015, 0.0278, NaN, NaN, 0.259, +-++-, 1.417, 4.767, 73.396
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, dtw, pip, 25, 10, 1, XGBClassifier, Close_norm, Close_norm, 0.4866, 0.0416, 0.4783, 0.0398, NaN, NaN, 0.292, ++---, -0.032, -6.324, -106.315
 1, ['Close_proc'], None, euclidean, padding, 25, 5, 1, XGBClassifier, Close_proc, Close_norm, 0.4798, 0.0284, 0.4739, 0.0317, NaN, NaN, 0.462, ++---, 0.523, -0.652, -15.447
