No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 1, ['Close_norm'], SAX, pearson, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5209, 0.075, 0.5035, 0.0814, 0.517, 0.23, 0.297, +-+++, 0.293, 3.081, 54.502
 1, ['Close_norm'], SAX, pearson, time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.507, 0.0305, 0.4918, 0.028, 0.533, 0.239, 0.251, +-+--, 0.609, 2.028, 29.28
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4947, 0.0529, 0.4816, 0.0533, 0.514, 0.201, 0.293, +++++, 1.062, 3.848, 65.986
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5058, 0.0384, 0.4857, 0.0414, 0.564, 0.258, 0.24, +--+-, 1.264, -0.979, -16.019
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5161, 0.0241, 0.5032, 0.0361, 0.532, 0.234, 0.252, +++++, 1.236, 3.194, 51.363
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], SAX, pearson, time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5128, 0.0395, 0.4897, 0.0328, 0.569, 0.264, 0.231, ++---, 1.423, -0.369, -8.834
 1, ['Close_norm'], SAX, pearson, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.521, 0.0721, 0.505, 0.0798, 0.514, 0.232, 0.262, +-+++, 0.072, 3.549, 62.595
 1, ['Close_norm'], SAX, pearson, delay_time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5099, 0.0296, 0.4937, 0.0274, 0.536, 0.239, 0.25, +-+-+, 0.943, 3.469, 53.984
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5175, 0.0389, 0.5047, 0.0468, 0.515, 0.206, 0.283, +++++, 1.275, 4.638, 79.871
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], SAX, pearson, delay_time_join, 10, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5058, 0.0464, 0.4863, 0.0483, 0.564, 0.25, 0.252, +--+-, 1.228, 0.632, 11.001
