No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5161, 0.0494, 0.5098, 0.0457, 0.398, 0.211, 0.244, +-+++, 1.552, 4.46, 78.056
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5293, 0.0571, 0.5224, 0.0556, 0.421, 0.213, 0.296, +--+-, 0.688, 2.022, 29.721
 1, ['Close_norm'], None, pearson, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.541, 0.0712, 0.5348, 0.0694, 0.396, 0.215, 0.347, +-+++, 1.044, 5.948, 99.303
 1, ['Close_norm'], None, pearson, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5291, 0.047, 0.5262, 0.0469, 0.412, 0.202, 0.317, +--++, 0.832, 3.595, 57.633
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5025, 0.0571, 0.4929, 0.0534, 0.412, 0.193, 0.267, +-++-, 1.225, 1.977, 30.863
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5121, 0.0227, 0.4964, 0.0364, 0.438, 0.211, 0.291, ++-++, 1.083, 0.54, 8.427
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5286, 0.0626, 0.5231, 0.059, 0.396, 0.21, 0.25, +-+++, 1.679, 4.559, 79.805
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5452, 0.064, 0.5397, 0.0632, 0.426, 0.221, 0.306, +--++, 0.929, 3.529, 57.241
 1, ['Close_norm'], None, pearson, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.526, 0.0749, 0.5222, 0.0745, 0.394, 0.216, 0.359, +-+-+, 1.077, 7.112, 118.134
 1, ['Close_norm'], None, pearson, delay_time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5238, 0.0543, 0.5187, 0.0526, 0.405, 0.202, 0.317, +-+++, 0.73, 4.006, 66.928
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5049, 0.0383, 0.4929, 0.0371, 0.404, 0.204, 0.265, +-+++, 1.226, 4.078, 71.582
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.504, 0.0376, 0.4891, 0.0507, 0.44, 0.205, 0.302, ++---, 0.818, -1.964, -36.211
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5261, 0.0487, 0.5207, 0.0492, 0.399, 0.208, 0.245, +-+++, 1.127, 3.896, 65.098
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, delay_time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5159, 0.0538, 0.5082, 0.0543, 0.424, 0.229, 0.258, +-+++, 0.755, 3.057, 51.13
 1, ['Close_norm'], None, pearson, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5336, 0.0529, 0.5246, 0.0564, 0.396, 0.213, 0.327, +-+++, 1.712, 8.009, 126.549
 1, ['Close_norm'], None, pearson, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5159, 0.0464, 0.5083, 0.0427, 0.377, 0.19, 0.314, +-+++, 0.873, 3.687, 59.303
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5001, 0.0246, 0.4906, 0.0263, 0.418, 0.189, 0.305, ++-+-, 0.927, 0.278, 0.05
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5147, 0.0376, 0.5046, 0.0367, 0.412, 0.204, 0.315, ++-++, 1.083, 0.676, 9.787
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, pip, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5362, 0.0638, 0.5291, 0.0644, 0.396, 0.208, 0.264, +-+++, 1.378, 5.535, 90.416
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, pearson, pip, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.492, 0.0392, 0.4827, 0.0342, 0.402, 0.212, 0.258, +-++-, 0.625, 1.99, 28.002
 1, ['Close_norm'], None, co-integration, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5411, 0.0495, 0.5349, 0.0472, 0.366, 0.209, 0.296, +--++, 1.661, 5.044, 86.349
 1, ['Close_norm'], None, co-integration, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.516, 0.0213, 0.5122, 0.0177, 0.37, 0.198, 0.319, +++--, 0.637, 3.637, 50.687
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5252, 0.0486, 0.5167, 0.0495, 0.397, 0.209, 0.303, +--++, 0.555, 0.505, 8.377
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5149, 0.0358, 0.5054, 0.0348, 0.395, 0.213, 0.299, +++-+, 1.157, 2.865, 42.818
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, padding, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5138, 0.0603, 0.5088, 0.0608, 0.388, 0.195, 0.264, +--+-, 1.134, -0.374, -7.649
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, padding, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5081, 0.038, 0.4989, 0.0405, 0.386, 0.201, 0.319, +-+--, 0.164, 1.961, 26.619
 1, ['Close_norm'], None, co-integration, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5362, 0.0546, 0.5326, 0.0525, 0.359, 0.205, 0.346, +--++, 0.931, 2.916, 45.055
 1, ['Close_norm'], None, co-integration, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.524, 0.0187, 0.5206, 0.0163, 0.372, 0.201, 0.34, ++++-, 1.051, 4.376, 67.953
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5278, 0.0574, 0.5219, 0.0576, 0.394, 0.204, 0.328, +--++, 0.409, 0.921, 16.962
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5284, 0.0402, 0.5206, 0.0373, 0.408, 0.223, 0.294, ++++-, 0.991, 3.689, 54.021
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5186, 0.0649, 0.5088, 0.0721, 0.386, 0.198, 0.244, +-+++, 0.715, 1.165, 19.035
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5212, 0.0353, 0.517, 0.0347, 0.394, 0.214, 0.335, +-++-, 0.684, 0.873, 13.537
 1, ['Close_norm'], None, co-integration, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5485, 0.0639, 0.546, 0.0641, 0.377, 0.209, 0.369, +-+++, 1.093, 9.583, 164.856
 1, ['Close_norm'], None, co-integration, delay_time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4973, 0.0437, 0.4903, 0.0459, 0.388, 0.213, 0.335, +++++, 0.67, 4.783, 76.729
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, delay_time_join, 10, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5226, 0.0421, 0.5138, 0.0432, 0.389, 0.213, 0.308, ++-++, 1.16, 3.579, 58.567
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, delay_time_join, 10, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5068, 0.0295, 0.487, 0.0413, 0.387, 0.22, 0.272, +++++, 1.558, 4.099, 66.882
