No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4855, 0.0415, 0.4317, 0.0498, NaN, NaN, 0.173, +---+, -0.003, -5.484, -88.56
 1, ['Close_norm'], None, pearson, delay_time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4973, 0.0376, 0.4783, 0.0466, NaN, NaN, 0.239, +-++-, 0.367, 1.067, 14.902
 1, ['Close_norm'], None, pearson, delay_time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4928, 0.0682, 0.4675, 0.0877, NaN, NaN, 0.245, +----, 0.356, -4.114, -67.21
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5309, 0.0441, 0.5182, 0.0403, NaN, NaN, 0.351, +++-+, 1.082, 7.777, 130.453
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.496, 0.0717, 0.476, 0.0541, NaN, NaN, 0.232, +-++-, 0.345, 2.492, 38.091
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, delay_time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5059, 0.0565, 0.4827, 0.0659, NaN, NaN, 0.289, +++--, 0.497, 1.555, 20.2
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, delay_time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5, 0.0259, 0.4356, 0.0589, NaN, NaN, 0.167, +---+, 0.072, -2.997, -44.71
 1, ['Close_norm'], None, pearson, pip, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5186, 0.0293, 0.5043, 0.0376, NaN, NaN, 0.234, +++-+, 1.014, 1.593, 24.261
 1, ['Close_norm'], None, pearson, pip, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4928, 0.0372, 0.4824, 0.0416, NaN, NaN, 0.197, ---+-, 0.588, -4.148, -69.804
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4932, 0.044, 0.4824, 0.0422, NaN, NaN, 0.375, +-+-+, 0.126, 4.546, 76.321
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4878, 0.0424, 0.4709, 0.0396, NaN, NaN, 0.234, +-+-+, 0.125, 0.192, 2.207
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, pearson, pip, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4854, 0.051, 0.4602, 0.0368, NaN, NaN, 0.307, +---+, 0.114, -3.265, -53.196
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, pearson, pip, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4973, 0.0412, 0.474, 0.0534, NaN, NaN, 0.222, +---+, 0.569, -3.091, -50.293
 1, ['Close_norm'], None, co-integration, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4868, 0.0214, 0.4793, 0.0254, NaN, NaN, 0.263, -+---, -0.184, -3.206, -52.807
 1, ['Close_norm'], None, co-integration, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4958, 0.0436, 0.4742, 0.0507, NaN, NaN, 0.22, +-++-, 1.325, 1.633, 25.645
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5066, 0.0381, 0.502, 0.0366, NaN, NaN, 0.326, +----, 0.694, 0.074, -3.748
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4986, 0.0488, 0.4874, 0.0407, NaN, NaN, 0.288, +++-+, 0.658, 3.075, 49.247
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5375, 0.0506, 0.5206, 0.0567, NaN, NaN, 0.289, ++-++, 0.37, 0.338, 6.217
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, padding, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4916, 0.0495, 0.4539, 0.0525, NaN, NaN, 0.208, +---+, 0.153, -4.399, -70.751
 1, ['Close_norm'], None, co-integration, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4655, 0.0353, 0.4555, 0.0391, NaN, NaN, 0.274, -+---, -0.539, -4.361, -75.691
 1, ['Close_norm'], None, co-integration, time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4844, 0.0379, 0.4689, 0.0308, NaN, NaN, 0.27, +----, 0.317, -4.579, -78.604
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4824, 0.0329, 0.4763, 0.03, NaN, NaN, 0.345, +--++, 0.826, -0.416, -3.804
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, co-integration, time_join, 25, 10, 1, RandomForestClassifier, Close_norm, Close_norm, 0.4959, 0.0732, 0.4788, 0.0655, NaN, NaN, 0.245, +++-+, 1.134, 5.872, 100.416
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 25, 15, 1, RandomForestClassifier, Close_norm, Close_norm, 0.5376, 0.072, 0.5114, 0.0816, NaN, NaN, 0.315, ++--+, 0.597, 0.507, 5.509
