No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4912, 0.0515, 0.4773, 0.0505, 0.399, 0.195, 0.259, +--++, -0.085, -4.497, -66.126
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, padding, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5533, 0.0771, 0.5483, 0.0744, 0.368, 0.212, 0.311, +-++-, 0.731, 6.659, 107.4
 1, ['Close_norm'], None, co-integration, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5385, 0.0768, 0.5326, 0.0792, 0.394, 0.212, 0.397, +--++, 0.837, 1.653, 34.575
 1, ['Close_norm'], None, co-integration, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5266, 0.006, 0.5207, 0.0031, 0.36, 0.208, 0.33, +-+++, 1.076, 5.482, 89.395
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5251, 0.052, 0.5159, 0.0541, 0.408, 0.218, 0.313, +--++, 0.751, 0.703, 13.088
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5148, 0.0291, 0.4897, 0.0439, 0.38, 0.213, 0.294, ++-++, 1.049, 2.721, 44.948
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5111, 0.0634, 0.4979, 0.0657, 0.394, 0.197, 0.284, +--++, 0.05, -1.808, -21.444
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.524, 0.0367, 0.5173, 0.0318, 0.37, 0.217, 0.325, +-++-, 0.717, 2.909, 46.064
 1, ['Close_norm'], None, co-integration, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5436, 0.0532, 0.5414, 0.0534, 0.388, 0.217, 0.374, ++-++, 1.189, 3.81, 65.25
 1, ['Close_norm'], None, co-integration, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5319, 0.0261, 0.5205, 0.0219, 0.367, 0.213, 0.311, +-+-+, 0.5, 0.105, 0.104
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4949, 0.034, 0.483, 0.0339, 0.404, 0.224, 0.313, +---+, 0.415, -1.235, -20.471
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], None, co-integration, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.496, 0.0199, 0.4717, 0.0348, 0.378, 0.22, 0.326, +++++, 1.412, 2.879, 45.435
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5188, 0.0268, 0.5015, 0.0244, 0.387, 0.2, 0.257, +--++, 1.113, 2.188, 39.444
 3, ['Close_norm'; 'rsi_norm'; 'MA_norm'], None, co-integration, delay_time_join, 50, 10, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5426, 0.0644, 0.5261, 0.0641, 0.376, 0.214, 0.247, +--++, 0.185, 0.908, 17.259
 1, ['Close_norm'], None, co-integration, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5088, 0.0741, 0.5022, 0.0751, 0.376, 0.21, 0.414, +-++-, -0.192, 2.874, 43.921
