No. of features, selected_features, transformer, sim_func, fix_len_func, k stock, window_len, next_t, model, target_col, sim_col, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse,mean_orders_count_per_hours, folds_result, mean_sharpe_ratio, mean_profit_%, mean_profit
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4948, 0.0388, 0.4284, 0.0891, 0.977, 0.332, 0.113, X---+, 0.626, -2.024, -27.375
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4855, 0.0695, 0.4128, 0.1072, 1.208, 0.538, 0.09, X-X+-, 0.268, -3.876, -60.735
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4823, 0.035, 0.42, 0.0735, 0.979, 0.316, 0.093, X--+-, 0.763, -2.556, -40.872
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4769, 0.0767, 0.404, 0.1115, 1.205, 0.502, 0.095, X-X+-, -0.147, -4.5, -74.18
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, pip, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4974, 0.0237, 0.4332, 0.0721, 1.037, 0.432, 0.126, X----, 0.62, -2.787, -44.931
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, sax, pip, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4739, 0.067, 0.3984, 0.0971, 1.27, 0.481, 0.095, X--+-, 0.276, -3.735, -59.427
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, padding, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5101, 0.037, 0.4509, 0.0796, 1.065, 0.398, 0.124, ----+, 0.891, -2.014, -29.762
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, padding, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4594, 0.0429, 0.3807, 0.0635, 1.229, 0.533, 0.066, --X-+, 0.19, -4.143, -63.682
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.5076, 0.0372, 0.447, 0.0766, 1.072, 0.405, 0.129, ---++, 0.903, -1.966, -28.984
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4681, 0.0475, 0.3907, 0.0754, 1.234, 0.523, 0.072, --X-+, 0.197, -3.919, -59.41
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, delay_time_join, 50, 5, 1, RandomForestRegressor, Close_norm, Close_norm, 0.495, 0.035, 0.4301, 0.0773, 1.025, 0.415, 0.116, X----, 0.759, -3.332, -55.47
 7, ['Close_norm'; 'Close_proc'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'; 'Volume_norm'], PCA, dtw, delay_time_join, 50, 15, 1, RandomForestRegressor, Close_norm, Close_norm, 0.4595, 0.048, 0.3849, 0.0693, 1.178, 0.536, 0.078, --X-+, 0.218, -4.043, -62.322
