No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 10, 0, 1, GradientBoostingClassifier, 0.5049, 0.048, 0.4692, 0.0559, NaN, NaN, 0.147, 13.852, 45.247
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 10, 0, 3, RandomForestRegressor, 0.4871, 0.0464, 0.4859, 0.0466, 0.012, 0.003, 0.39, 17.219, 45.2
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 10, 0, 3, RandomForestClassifier, 0.5045, 0.0368, 0.4938, 0.0418, NaN, NaN, -0.044, 13.852, 78.794
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 10, 0, 3, GradientBoostingRegressor, 0.5045, 0.0411, 0.499, 0.0421, 0.012, 0.003, -0.081, 12.454, 53.256
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 10, 0, 3, GradientBoostingClassifier, 0.5146, 0.0337, 0.4777, 0.048, NaN, NaN, 0.376, -0.386, 31.878
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 10, 0, 7, RandomForestRegressor, 0.5009, 0.0384, 0.4998, 0.0383, 0.012, 0.003, 0.423, 3.309, 22.348
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 10, 0, 7, RandomForestClassifier, 0.5013, 0.0461, 0.492, 0.0501, NaN, NaN, 0.379, 13.08, 47.202
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 10, 0, 7, GradientBoostingRegressor, 0.5079, 0.0498, 0.502, 0.0506, 0.012, 0.003, 0.155, 11.292, 43.137
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, time_join, 10, 0, 7, GradientBoostingClassifier, 0.5131, 0.0365, 0.4577, 0.0587, NaN, NaN, 0.133, 11.337, 47.261
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 1, RandomForestRegressor, 0.4783, 0.0423, 0.4768, 0.0427, 0.012, 0.003, 0.057, 6.928, 22.161
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 1, RandomForestClassifier, 0.4943, 0.0358, 0.4799, 0.0462, NaN, NaN, 0.233, 5.412, 54.996
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 1, GradientBoostingRegressor, 0.502, 0.0349, 0.4944, 0.0421, 0.012, 0.003, 0.181, 9.661, 43.301
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 1, GradientBoostingClassifier, 0.5046, 0.0439, 0.473, 0.0548, NaN, NaN, 0.286, 16.053, 44.916
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 3, RandomForestRegressor, 0.4897, 0.0451, 0.4887, 0.0451, 0.012, 0.003, 0.504, 15.798, 45.19
7, ['Close_norm'; 'Close_proc'; 'Volume_norm'; 'rsi_norm'; 'MACD_norm'; 'Open_Close_diff_norm'; 'High_Low_diff_norm'], sax, pip, 10, 0, 3, RandomForestClassifier, 0.5043, 0.0431, 0.4933, 0.0451, NaN, NaN, 0.237, 13.776, 78.797
