No. of features, selected_features, sim_func, fix_len_func, k stock, window_len, next_t, model, mean_accuracy, std_accuracy, mean_f1, std_f1, mean_rmse, std_rmse, mean_sharp_ratio, mean_profit, std_profit
1, ['Close_proc'], co-integration, pip, 10, 0, 1, GradientBoostingClassifier, 0.5231, 0.0387, 0.4498, 0.0563, NaN, NaN, 0.176, 8.146, 33.247
1, ['Close_proc'], co-integration, pip, 10, 0, 3, RandomForestRegressor, 0.5035, 0.0477, 0.502, 0.0475, 0.015, 0.005, -0.21, 10.499, 49.337
1, ['Close_proc'], co-integration, pip, 10, 0, 3, RandomForestClassifier, 0.4998, 0.0432, 0.4957, 0.0435, NaN, NaN, -0.258, 4.081, 54.494
1, ['Close_proc'], co-integration, pip, 10, 0, 3, GradientBoostingRegressor, 0.5112, 0.0517, 0.5058, 0.0524, 0.012, 0.003, 0.02, 2.597, 36.921
1, ['Close_proc'], co-integration, pip, 10, 0, 3, GradientBoostingClassifier, 0.5179, 0.0403, 0.4422, 0.0528, NaN, NaN, 0.204, -2.01, 42.088
1, ['Close_proc'], co-integration, pip, 10, 0, 7, RandomForestRegressor, 0.4935, 0.0394, 0.4925, 0.0394, 0.015, 0.003, 0.027, 17.016, 82.492
1, ['Close_proc'], co-integration, pip, 10, 0, 7, RandomForestClassifier, 0.4919, 0.0408, 0.4879, 0.0401, NaN, NaN, 0.194, 15.643, 53.115
1, ['Close_proc'], co-integration, pip, 10, 0, 7, GradientBoostingRegressor, 0.4944, 0.0427, 0.4839, 0.0424, 0.011, 0.003, -0.017, 6.431, 36.254
1, ['Close_proc'], co-integration, pip, 10, 0, 7, GradientBoostingClassifier, 0.5262, 0.0441, 0.4139, 0.0633, NaN, NaN, 0.117, 16.833, 41.378
1, ['Close_proc'], euclidean, time_join, 25, 0, 1, RandomForestRegressor, 0.508, 0.034, 0.5064, 0.0337, 0.014, 0.003, 0.293, 15.829, 54.342
1, ['Close_proc'], euclidean, time_join, 25, 0, 1, RandomForestClassifier, 0.498, 0.0462, 0.4965, 0.0463, NaN, NaN, 0.069, 10.921, 71.161
1, ['Close_proc'], euclidean, time_join, 25, 0, 1, GradientBoostingRegressor, 0.5058, 0.0466, 0.4971, 0.0492, 0.011, 0.003, 0.143, 15.688, 51.575
1, ['Close_proc'], euclidean, time_join, 25, 0, 1, GradientBoostingClassifier, 0.5194, 0.0447, 0.5054, 0.0426, NaN, NaN, 0.219, 11.268, 48.139
1, ['Close_proc'], euclidean, time_join, 25, 0, 3, RandomForestRegressor, 0.512, 0.0553, 0.5108, 0.0554, 0.014, 0.003, -0.012, 4.044, 32.452
1, ['Close_proc'], euclidean, time_join, 25, 0, 3, RandomForestClassifier, 0.5092, 0.0375, 0.5052, 0.0382, NaN, NaN, 0.256, 12.925, 46.536
1, ['Close_proc'], euclidean, time_join, 25, 0, 3, GradientBoostingRegressor, 0.5099, 0.0487, 0.5006, 0.0523, 0.011, 0.003, -0.145, -5.476, 28.831
1, ['Close_proc'], euclidean, time_join, 25, 0, 3, GradientBoostingClassifier, 0.5186, 0.0447, 0.4251, 0.0617, NaN, NaN, 0.123, 5.666, 29.325
1, ['Close_proc'], euclidean, time_join, 25, 0, 7, RandomForestRegressor, 0.4866, 0.038, 0.4854, 0.0381, 0.014, 0.003, 0.21, 11.667, 34.559
1, ['Close_proc'], euclidean, time_join, 25, 0, 7, RandomForestClassifier, 0.5017, 0.041, 0.4957, 0.0401, NaN, NaN, 0.378, 7.57, 59.207
1, ['Close_proc'], euclidean, time_join, 25, 0, 7, GradientBoostingRegressor, 0.4982, 0.0416, 0.4922, 0.0407, 0.011, 0.003, -0.03, 3.464, 68.188
1, ['Close_proc'], euclidean, time_join, 25, 0, 7, GradientBoostingClassifier, 0.5259, 0.0433, 0.3909, 0.0512, NaN, NaN, 0.037, 14.688, 44.464
1, ['Close_proc'], euclidean, pip, 25, 0, 1, RandomForestRegressor, 0.5052, 0.0415, 0.5036, 0.0411, 0.014, 0.003, -0.035, 13.149, 56.598
1, ['Close_proc'], euclidean, pip, 25, 0, 1, RandomForestClassifier, 0.4974, 0.0508, 0.4958, 0.0514, NaN, NaN, -0.212, 7.881, 71.169
1, ['Close_proc'], euclidean, pip, 25, 0, 1, GradientBoostingRegressor, 0.5007, 0.0468, 0.4912, 0.0474, 0.011, 0.003, 0.043, 10.893, 40.111
1, ['Close_proc'], euclidean, pip, 25, 0, 1, GradientBoostingClassifier, 0.5205, 0.0431, 0.4943, 0.0495, NaN, NaN, 0.075, 9.044, 46.185
1, ['Close_proc'], euclidean, pip, 25, 0, 3, RandomForestRegressor, 0.5098, 0.0431, 0.5085, 0.0435, 0.014, 0.003, -0.217, 3.362, 46.055
1, ['Close_proc'], euclidean, pip, 25, 0, 3, RandomForestClassifier, 0.5039, 0.0411, 0.4988, 0.0415, NaN, NaN, 0.272, 13.964, 49.533
1, ['Close_proc'], euclidean, pip, 25, 0, 3, GradientBoostingRegressor, 0.5025, 0.0484, 0.4944, 0.0497, 0.011, 0.003, -0.022, 7.693, 37.072
1, ['Close_proc'], euclidean, pip, 25, 0, 3, GradientBoostingClassifier, 0.5204, 0.0424, 0.4334, 0.0491, NaN, NaN, 0.206, 5.69, 31.181
1, ['Close_proc'], euclidean, pip, 25, 0, 7, RandomForestRegressor, 0.497, 0.0318, 0.4959, 0.0318, 0.014, 0.003, -0.084, 10.447, 36.287
1, ['Close_proc'], euclidean, pip, 25, 0, 7, RandomForestClassifier, 0.5004, 0.0416, 0.4942, 0.0399, NaN, NaN, -0.064, 4.281, 54.282
1, ['Close_proc'], euclidean, pip, 25, 0, 7, GradientBoostingRegressor, 0.4992, 0.043, 0.4936, 0.0423, 0.011, 0.003, -0.06, 11.011, 53.494
1, ['Close_proc'], euclidean, pip, 25, 0, 7, GradientBoostingClassifier, 0.5266, 0.0381, 0.3817, 0.0407, NaN, NaN, 0.115, 11.767, 45.703
1, ['Close_proc'], sax, time_join, 25, 0, 1, RandomForestRegressor, 0.4952, 0.0402, 0.4935, 0.0401, 0.014, 0.003, -0.467, -2.248, 32.817
1, ['Close_proc'], sax, time_join, 25, 0, 1, RandomForestClassifier, 0.5033, 0.0347, 0.5014, 0.0357, NaN, NaN, 0.093, 5.502, 52.894
1, ['Close_proc'], sax, time_join, 25, 0, 1, GradientBoostingRegressor, 0.5071, 0.0419, 0.4958, 0.0458, 0.011, 0.003, 0.16, 1.344, 50.732
1, ['Close_proc'], sax, time_join, 25, 0, 1, GradientBoostingClassifier, 0.517, 0.0353, 0.4594, 0.042, NaN, NaN, 0.275, 6.46, 31.897
1, ['Close_proc'], sax, time_join, 25, 0, 3, RandomForestRegressor, 0.5054, 0.0483, 0.504, 0.0481, 0.014, 0.003, -0.104, 12.568, 48.706
1, ['Close_proc'], sax, time_join, 25, 0, 3, RandomForestClassifier, 0.4993, 0.0444, 0.4962, 0.0445, NaN, NaN, -0.366, 3.519, 54.327
